Locality,Property_Type,Furnishing_Status,Area_SqFt,BHK_Size,Bathroom_Count,Balcony_Count,Property_Age,Region,Price_Lakhs
Breach Candy,Apartment,Unfurnished,1048,3,3,3,13,MMR,616.94
Matunga,Apartment,Unfurnished,392,1,1,2,2,MMR,117.13
Borivali East,Apartment,Fully Furnished,734,2,2,2,5,Mumbai,112.82
Panvel,Apartment,Fully Furnished,597,2,2,1,8,Navi Mumbai,57.66
Ghodbunder Road,Apartment,Unfurnished,988,3,3,1,10,MMR,93.46
Andheri East,Apartment,Unfurnished,1238,4,4,2,16,Mumbai,226.61
Chembur,Apartment,Fully Furnished,968,3,3,0,14,Mumbai,190.98
Kanjurmarg,Apartment,Semi-Furnished,507,2,2,2,4,MMR,69.5
Airoli,Apartment,Fully Furnished,911,3,3,2,4,Navi Mumbai,116.9
Goregaon East,Apartment,Unfurnished,791,2,2,0,5,Mumbai,171.17
Malad East,Apartment,Semi-Furnished,976,3,3,1,16,Mumbai,140.68
Naigaon,Apartment,Unfurnished,457,1,1,1,7,Vasai-Virar,21.77
Ghatkopar East,Apartment,Unfurnished,1222,4,4,1,39,Mumbai,169.02
Ghatkopar East,Apartment,Semi-Furnished,476,1,1,1,31,Mumbai,95.28
Ambernath,Apartment,Unfurnished,683,2,2,1,10,Thane,29.11
Kalyan,Apartment,Unfurnished,676,2,2,1,19,Thane,32.49
Bhandup,Apartment,Unfurnished,662,2,2,1,2,Mumbai,51.54
Andheri East,Apartment,Unfurnished,766,3,3,2,16,Mumbai,199.34
Oshiwara,Apartment,Semi-Furnished,768,2,2,1,35,MMR,174.22
Ghatkopar West,Apartment,Unfurnished,346,1,1,2,3,Mumbai,58.24
Airoli,Apartment,Unfurnished,955,3,3,1,2,Navi Mumbai,100.9
Bkc (Bandra-Kurla),Apartment,Unfurnished,3113,5,5,2,11,MMR,2016.35
Colaba,Apartment,Unfurnished,405,1,1,2,2,MMR,194.56
Dahisar,Apartment,Unfurnished,701,2,2,1,10,Mumbai,68.66
Goregaon West,Apartment,Unfurnished,2663,5,5,1,13,Mumbai,342.71
Sion,Apartment,Unfurnished,3113,5,5,1,10,Mumbai,884.65
Sanpada,Apartment,Semi-Furnished,1724,4,4,1,11,Navi Mumbai,216.41
Bandra East,Apartment,Fully Furnished,1264,4,4,1,9,Mumbai,518.96
Kalyan,Apartment,Fully Furnished,1097,3,3,1,20,Thane,73.54
Malad West,Apartment,Fully Furnished,698,2,2,1,40,Mumbai,128.17
Ghansoli,Apartment,Semi-Furnished,352,1,1,2,12,Navi Mumbai,27.67
Andheri West,Apartment,Unfurnished,520,2,2,2,15,Mumbai,163.51
Kalyan,Apartment,Semi-Furnished,957,3,3,1,9,Thane,40.31
Pedder Road,Apartment,Semi-Furnished,900,3,3,2,6,MMR,790.78
Mahalaxmi,Apartment,Semi-Furnished,572,2,2,3,19,MMR,294.57
Nerul,Apartment,Semi-Furnished,578,2,2,2,3,Navi Mumbai,52.65
Malad East,Apartment,Semi-Furnished,2311,5,5,3,5,Mumbai,316.3
Goregaon East,Apartment,Semi-Furnished,922,3,3,0,30,Mumbai,170.7
Tardeo,Apartment,Unfurnished,417,1,1,1,7,MMR,197.67
Naigaon,Apartment,Semi-Furnished,884,3,3,3,7,Vasai-Virar,38.22
Pedder Road,Apartment,Unfurnished,1523,4,4,1,10,MMR,1045.01
Prabhadevi,Apartment,Semi-Furnished,673,2,2,1,36,Mumbai,293.87
Powai,Apartment,Fully Furnished,510,1,1,1,18,Mumbai,114.59
Santacruz East,Apartment,Semi-Furnished,1053,3,3,3,8,Mumbai,265.03
Sewri,Apartment,Fully Furnished,814,2,2,2,7,MMR,218.6
Borivali East,Apartment,Semi-Furnished,344,1,1,2,5,Mumbai,38.53
Tardeo,Apartment,Semi-Furnished,1000,3,3,2,2,MMR,604.99
Malabar Hill,Apartment,Semi-Furnished,1882,4,4,1,38,MMR,1180.22
Dadar East,Apartment,Fully Furnished,387,1,1,2,4,MMR,140.27
Malad West,Apartment,Semi-Furnished,642,2,2,1,5,Mumbai,110.12
Worli,Apartment,Unfurnished,1048,3,3,1,7,Mumbai,718.45
Lokhandwala,Apartment,Unfurnished,894,3,3,1,8,MMR,215.86
Kandivali East,Apartment,Semi-Furnished,492,1,1,2,7,Mumbai,49.5
Vile Parle West,Apartment,Semi-Furnished,613,2,2,2,14,Mumbai,288.3
Nerul,Apartment,Unfurnished,417,1,1,1,27,Navi Mumbai,50.14
Walkeshwar,Apartment,Unfurnished,799,3,3,0,22,MMR,518.99
Vile Parle East,Apartment,Unfurnished,928,2,2,1,7,Mumbai,283.75
Panvel,Apartment,Fully Furnished,401,1,1,1,40,Navi Mumbai,20.94
Kandivali West,Apartment,Semi-Furnished,619,2,2,1,10,Mumbai,114.82
Versova,Apartment,Semi-Furnished,512,2,2,0,40,MMR,155.36
Panvel,Apartment,Unfurnished,735,2,2,1,12,Navi Mumbai,48.85
Borivali West,Apartment,Unfurnished,784,3,3,1,3,Mumbai,115.04
Virar,Apartment,Unfurnished,716,2,2,2,10,Vasai-Virar,33.11
Powai,Apartment,Fully Furnished,1212,4,4,0,22,Mumbai,395.33
Vile Parle East,Apartment,Unfurnished,715,2,2,2,2,Mumbai,201.43
Mulund West,Apartment,Fully Furnished,770,2,2,1,17,Mumbai,125.82
Belapur,Apartment,Unfurnished,706,2,2,0,2,MMR,42.34
Chembur,Apartment,Unfurnished,1291,3,3,3,20,Mumbai,258.7
Vashi,Apartment,Unfurnished,409,1,1,1,12,Navi Mumbai,56.76
Thane West,Apartment,Semi-Furnished,842,3,3,2,21,Thane,92.41
Prabhadevi,Apartment,Unfurnished,585,2,2,3,6,Mumbai,310.11
Mira Road,Apartment,Fully Furnished,739,2,2,3,9,Mira-Bhayandar,56.93
Mulund West,Apartment,Semi-Furnished,860,3,3,0,22,Mumbai,131.24
Pedder Road,Apartment,Fully Furnished,999,3,3,1,12,MMR,732.95
Mumbra,Apartment,Unfurnished,727,3,3,2,12,Thane,33.38
Seawoods,Apartment,Unfurnished,746,2,2,2,26,Navi Mumbai,68.59
Byculla,Apartment,Fully Furnished,926,3,3,0,7,Mumbai,334.49
Juhu,Apartment,Unfurnished,715,2,2,1,2,Mumbai,369.14
Airoli,Apartment,Semi-Furnished,683,2,2,1,14,Navi Mumbai,62.94
Mulund East,Apartment,Unfurnished,885,3,3,1,37,Mumbai,106.75
Lower Parel,Apartment,Unfurnished,1286,4,4,2,7,Mumbai,652.93
Santacruz East,Apartment,Unfurnished,611,2,2,2,35,Mumbai,148.66
Sion,Apartment,Unfurnished,473,1,1,1,12,Mumbai,109.14
Malabar Hill,Apartment,Semi-Furnished,1379,4,4,1,5,MMR,941.35
Lower Parel,Apartment,Semi-Furnished,646,2,2,1,4,Mumbai,333.72
Vashi,Apartment,Fully Furnished,619,2,2,1,11,Navi Mumbai,90.59
Versova,Apartment,Fully Furnished,455,1,1,2,25,MMR,161.07
Wadala,Apartment,Unfurnished,426,1,1,2,2,Mumbai,135.6
Byculla,Apartment,Semi-Furnished,979,3,3,1,4,Mumbai,337.94
Goregaon West,Apartment,Unfurnished,1455,4,4,1,4,Mumbai,228.01
Dadar West,Apartment,Fully Furnished,1076,3,3,3,30,MMR,433.1
Malad East,Apartment,Fully Furnished,634,2,2,1,13,Mumbai,84.46
Taloja,Apartment,Fully Furnished,675,2,2,2,40,Navi Mumbai,34.36
Bandra East,Apartment,Fully Furnished,580,2,2,2,27,Mumbai,195.76
Bhandup,Apartment,Unfurnished,486,1,1,0,17,Mumbai,45.09
Mumbra,Apartment,Semi-Furnished,1109,3,3,1,19,Thane,51.36
Versova,Apartment,Unfurnished,361,1,1,1,7,MMR,90.5
Kanjurmarg,Apartment,Semi-Furnished,1595,4,4,1,5,MMR,289.39
Mahalaxmi,Apartment,Unfurnished,1212,4,4,2,4,MMR,587.47
Vikhroli,Apartment,Semi-Furnished,919,3,3,1,37,Mumbai,123.19
Vile Parle East,Apartment,Fully Furnished,1688,4,4,3,20,Mumbai,648.36
Kalyan,Apartment,Unfurnished,566,2,2,3,10,Thane,34.61
Wadala,Apartment,Semi-Furnished,1521,4,4,1,9,Mumbai,565.74
Ghodbunder Road,Apartment,Unfurnished,715,2,2,2,37,MMR,51.21
Airoli,Apartment,Semi-Furnished,521,1,1,0,13,Navi Mumbai,55.46
Kanjurmarg,Apartment,Semi-Furnished,949,3,3,3,8,MMR,170.02
Seawoods,Apartment,Semi-Furnished,764,3,3,2,21,Navi Mumbai,102.6
Bhandup,Apartment,Semi-Furnished,664,2,2,2,16,Mumbai,58.37
Panvel,Apartment,Fully Furnished,489,1,1,2,2,Navi Mumbai,25.61
Santacruz East,Apartment,Unfurnished,1106,3,3,2,9,Mumbai,378.36
Malad West,Apartment,Unfurnished,1095,3,3,1,22,Mumbai,139.22
Pedder Road,Apartment,Fully Furnished,828,2,2,3,5,MMR,654.1
Borivali East,Apartment,Semi-Furnished,2223,5,5,0,9,Mumbai,205.05
Worli,Apartment,Unfurnished,1540,4,4,3,11,Mumbai,1007.78
Malad West,Apartment,Semi-Furnished,970,3,3,1,12,Mumbai,170.56
Chembur,Apartment,Semi-Furnished,1003,3,3,2,10,Mumbai,152.19
Borivali West,Apartment,Unfurnished,1837,5,5,1,19,Mumbai,238.37
Lokhandwala,Apartment,Fully Furnished,322,1,1,2,17,MMR,116.04
Malad West,Apartment,Unfurnished,741,2,2,2,18,Mumbai,135.9
Juhu,Apartment,Unfurnished,810,3,3,1,28,Mumbai,442.84
Wadala,Apartment,Unfurnished,371,1,1,1,37,Mumbai,106.58
Walkeshwar,Apartment,Fully Furnished,1479,4,4,1,9,MMR,947.58
Belapur,Apartment,Semi-Furnished,1240,3,3,2,10,MMR,128.71
Belapur,Apartment,Unfurnished,761,3,3,1,17,MMR,66.36
Malad East,Apartment,Unfurnished,809,3,3,1,11,Mumbai,138.51
Colaba,Apartment,Semi-Furnished,1619,4,4,2,2,MMR,1018.94
Dadar East,Apartment,Fully Furnished,626,2,2,1,5,MMR,202.35
Marine Drive,Apartment,Unfurnished,1797,4,4,0,4,MMR,1132.14
Kharghar,Apartment,Unfurnished,672,2,2,0,5,Navi Mumbai,74.05
Kurla East,Apartment,Semi-Furnished,711,2,2,2,15,MMR,131.84
Vikhroli,Apartment,Fully Furnished,1040,3,3,1,11,Mumbai,190.42
Thane West,Apartment,Unfurnished,533,2,2,2,11,Thane,39.35
Andheri East,Apartment,Unfurnished,714,2,2,1,3,Mumbai,178.57
Dadar West,Apartment,Semi-Furnished,669,2,2,2,31,MMR,185.46
Worli,Apartment,Unfurnished,923,3,3,2,12,Mumbai,800.6
Goregaon East,Apartment,Semi-Furnished,2547,5,5,1,4,Mumbai,483.03
Kurla West,Apartment,Unfurnished,1022,3,3,2,6,MMR,251.08
Ghansoli,Apartment,Fully Furnished,827,2,2,1,14,Navi Mumbai,86.79
Sion,Apartment,Unfurnished,470,1,1,2,25,Mumbai,103.98
Byculla,Apartment,Semi-Furnished,409,1,1,1,2,Mumbai,110.45
Mulund West,Apartment,Unfurnished,456,1,1,1,8,Mumbai,91.94
Tardeo,Apartment,Semi-Furnished,727,2,2,2,3,MMR,464.24
Wadala,Apartment,Fully Furnished,486,1,1,3,3,Mumbai,181.28
Versova,Apartment,Unfurnished,432,1,1,1,9,MMR,123.02
Worli,Apartment,Unfurnished,2602,5,5,2,2,Mumbai,1683.98
Ghatkopar East,Apartment,Unfurnished,453,2,2,2,23,Mumbai,84.71
Versova,Apartment,Unfurnished,600,2,2,1,5,MMR,209.1
Nariman Point,Apartment,Semi-Furnished,2858,5,5,1,4,MMR,1794.54
Vashi,Apartment,Fully Furnished,727,2,2,1,22,Navi Mumbai,112.87
Mira Road,Apartment,Semi-Furnished,1129,3,3,1,16,Mira-Bhayandar,92.21
Mulund East,Apartment,Semi-Furnished,812,2,2,2,6,Mumbai,78.4
Parel,Apartment,Fully Furnished,524,2,2,3,25,Mumbai,214.47
Bhandup,Apartment,Semi-Furnished,974,3,3,0,36,Mumbai,128.63
Ghatkopar East,Apartment,Semi-Furnished,1230,3,3,3,34,Mumbai,178.45
Matunga,Apartment,Semi-Furnished,1131,3,3,3,8,MMR,343.26
Mumbra,Apartment,Unfurnished,1906,5,5,2,27,Thane,96.93
Borivali East,Apartment,Fully Furnished,730,3,3,1,27,Mumbai,91.5
Mulund West,Apartment,Unfurnished,525,2,2,0,6,Mumbai,86.67
Byculla,Apartment,Semi-Furnished,487,1,1,3,10,Mumbai,145.19
Sion,Apartment,Semi-Furnished,938,3,3,2,8,Mumbai,224.75
Mumbra,Apartment,Unfurnished,759,2,2,2,9,Thane,41.02
Taloja,Apartment,Semi-Furnished,2817,5,5,1,39,Navi Mumbai,168.09
Colaba,Apartment,Unfurnished,699,2,2,1,12,MMR,325.53
Sion,Apartment,Unfurnished,957,3,3,2,23,Mumbai,252.42
Bhandup,Apartment,Fully Furnished,363,1,1,1,5,Mumbai,56.86
Virar,Apartment,Fully Furnished,1242,3,3,1,5,Vasai-Virar,64.11
Mumbra,Apartment,Unfurnished,948,3,3,1,8,Thane,55.33
Ghatkopar East,Apartment,Unfurnished,1389,4,4,1,36,Mumbai,276.15
Vile Parle West,Apartment,Unfurnished,975,3,3,2,8,Mumbai,375.7
Wadala,Apartment,Unfurnished,529,1,1,1,12,Mumbai,195.84
Dadar West,Apartment,Fully Furnished,2562,5,5,1,18,MMR,1409.19
Vile Parle West,Apartment,Fully Furnished,913,3,3,3,23,Mumbai,314.91
Kopar Khairane,Apartment,Unfurnished,620,2,2,0,17,MMR,63.59
Malabar Hill,Apartment,Unfurnished,1135,3,3,3,3,MMR,940.64
Airoli,Apartment,Unfurnished,289,1,1,1,2,Navi Mumbai,35.51
Nariman Point,Apartment,Fully Furnished,428,1,1,1,17,MMR,259.63
Ghodbunder Road,Apartment,Unfurnished,466,1,1,1,20,MMR,43.77
Chembur,Apartment,Unfurnished,694,2,2,2,7,Mumbai,139.04
Seawoods,Apartment,Fully Furnished,513,2,2,2,17,Navi Mumbai,76.56
Kurla West,Apartment,Unfurnished,442,1,1,2,7,MMR,118.23
Kopar Khairane,Apartment,Semi-Furnished,594,2,2,1,11,MMR,71.03
Powai,Apartment,Unfurnished,763,3,3,3,19,Mumbai,165.34
Marine Drive,Apartment,Semi-Furnished,1666,5,5,1,40,MMR,1044.66
Dadar West,Apartment,Unfurnished,374,1,1,2,6,MMR,116.73
Nariman Point,Apartment,Semi-Furnished,1004,3,3,0,8,MMR,630.64
